renderedContent,replyCount,retweetCount,likeCount,quoteCount,mentionedUserCount
"The fact that my Depression hits me every Night nowadays is just fantastic. Im fine. That's what im telling everyone and myself, but that is just a lie. Slowly but surely it's dragging me down.",1,0,1,0,0
one of the weird things about anxiety/depression episodes is genuinely not knowing if you're being realistic or pessimistic,0,0,1,0,0
"@mork_v It can depend on the form of depression. Many have episodes, it's not constant. I have ""Severe depression, Repeating Episodes"". Good days, bad days, worse days. Just knowing someone truly cares &amp; is there to talk, joke, understand helps on bad days. Worse days, not so much.",0,0,2,0,1
"you have depression? i have a simple fix for you! just simply get out of bed, clean your room, eat food, take a shower, do all your homework, go to work for 10 hours to get money, save all your money, pay your bills/loans, and spend time with friends. jUsT tRy !",0,0,10,0,0
@grandesaurora the event that started the great depression,0,0,0,0,0
"any depression is fucking shit and if i can at least be a barrier between you and the lowest, then you’re damn right that i wanna hear you out.",1,0,1,0,0
"@Unique__Mich lol try out doki doki literature club

depression warning and im serious for once",0,0,1,0,1
@Kxtsunny depression,0,0,1,0,1
Anxiety. Depression. I'm at the combination anxiety depression,0,0,1,0,0
"I feel like my nearly 30 years of living has been me saying all these cool things I could do, and me never actually doing them.

Depression is a bitch.",0,0,0,0,0
"@Smartypants60 - Bill Clinton passes the Republicans' removal of FDR's Regulations on banks (which ended the Great Depression), causing the 2008 Great Recession (GBLA, 1999)

Bernie opposed all of the above, despite being in the minority.",0,0,0,0,1
@Depression_A9 @vip____74 الفيديو جابلي دبرشن 🏃‍♂️,0,0,0,0,1
Sleepy depression is my favorite depression. Naps &gt; life. 🤘🏼,0,0,0,0,0
"Sorry to everyone who’s following me, I’m violently swinging back and forth between manic depression and “Haha Chill Vibes” and I don’t know how to regulate my emotions since I haven’t felt anything since 2014",1,0,5,0,0
is it pms or depression,0,0,0,0,0
@markovthebeast_ Not lose weight I’m trying to build muscle but depression is a bitch lmao,1,0,0,0,1
@pax Post con depression descend https://t.co/YFZO3BigH5,0,0,1,0,1
"When i start to listen to Bloo songs again, yep my depression is going on",0,0,0,0,0
lets hope they put me right on some anti shit brain pills in trying to see what its like to not have depression,0,0,2,0,0
Depression will save you from coronavirus. Not leaving your house is now protective. Lol.,0,0,1,0,0
it feels like a summer night and i can feel my seasonal depression slipping away,0,0,4,0,0
"One week until we get the sun back, it’s over for this seasonal depression",0,2,15,0,0
"man, depression really made me read less the past two years but I have found a way to concentrate better when reading and im having a blast rn",1,0,0,0,0
Anxiety is real. Panic is real. Depression is real. #projectsemicolon #imnotashamed https://t.co/0DdcdbqRwt,0,1,9,0,0
Faible neige a commencée dans l’ouest de l’Abitibi à l’approche d’une dépression qui passera sur le nord de l’Ontario et la Baie-James cette nuit et demain. 2-4 cm en Abitibi cette nuit et demain. Neige devenant peut-être fondante ou mêlée de pluie en pm. https://t.co/sZOTJep0Fj,0,0,0,0,0
depression can suck my dick,0,0,3,0,0
"Rewatch. Rebecca Hall gives a devastating portrayal of Christine Chubbock, a 1972 Florida news reporter who battled depression. More shocking knowing this is a true story.  It's an incredible performance that deserved more recognition. https://t.co/QaUQRjb64e",0,1,5,0,0
"Day 45 being open about depression. Had a good weekend but now I’m getting anxious about finding a new job, my savings have run dry and being self employed there is no sick pay. It’s more stress I could do without but I’m sure I’ll find something. Staying positive.#ItsOkNotToBeOk",5,1,29,0,0
"La plupart je sais pas ce qu'ils sont devenus. Mais un•e autre est tjrs super connu•e dans la communauté alors qu'iel a abusé de sa position de pouvoir en le sachant. J'étais mineur, en dépression, j'avais pas c'est quoi le consentement, et iel a décidé que",1,0,0,0,0
I remember DROWNING in depression &amp; NOBODY knew .. Thank God for better days!!,0,0,0,0,0
TrumpSlump is alive-his lack of leadership/propensity to lie is biting him-stock market is nearing Depression era territory-world wide economy on verge of collapse because virus is global-Trump has no grasp-MAGA now means My Averice Grab Avenged-by a microbe-best end-Trump loses,0,0,1,0,0
I need Animal Crossing to cure my depression like right now,0,1,0,0,0
@tonyposnanski When you are depressed try to remember that depression is a liar. It lies to you about your value and it lies to you about things never getting better. ❤️,0,0,1,0,1
"@segandiaye_ j’avoue j’sais pas trop ce qu’elle fait, je sais juste qu’elle était en dépression à cause de justin mais niveau musical... tu peux pas comparer Ariana à ça mddrrr",1,0,0,0,1
@AceHudsonJr I sell nudes because I like doing it? I’m also a political aide and work 2 other jobs. But yes. I took mental health days as a 5 year old. Because I have depression and autism. Not acknowledging when your children need mental health days negatively impacts their development.,1,0,0,0,1
"@cathyrady102 You kiss your Grandchildren with that mouth? Of course that's true, I'm pretty sure it's obvious I was joking, but incase it wasn't, I'll extend you an olive branch since I guess growing up in the great depression humour mustn't have been top priority for you.",0,0,0,0,1
JUST MADE A FINSTA POST ABOUT MY DEPRESSION BUT PETE BUTTIGIEG DROPPED OUT SO I HAVE SEROTONIN AGAIN!!!!!!!!!,0,1,6,0,0
"ya, mari masuk ke tahap post-concert depression. gatau sampe kapan. gaperna sesakit dan sebingung dan sehampa ini, since march 25 2015",2,0,1,0,0
@chrislmendonca @DavidInglesTV Depression,1,0,1,0,2
It’s like the sun went down and depression just came outta no where,0,0,3,0,0
I've been ignoring the fact i have diagnosed depression and bpd and i was supposed to be on meds,0,0,1,0,0
"Care for me by Saba and I don't like shit, I don't go outside by Early Sweatshirt are like the perfect album duo for depression. Like I only listen to them when I'm mildly sad cuz if you listen to them happy your vibes killed and listening  depressed leads to terrible decisions",1,0,1,0,0
@yeezykagekira Fuck that depression up man,1,0,1,0,1
@BaruchPletner @wolfejosh Deflation of assets. Inflation of everyday consumables. Look at the Great Depression more closely if you're interested in this. People rarely appreciate how dynamic prices really were.,1,1,4,0,2
@adel_Depression اي كلام حلو جبر خواطر حتي .... هينجيكوا من جوف المخاطر...😂😂⁦❤️⁩,0,0,0,0,0
Allie moving in is the motivation I need to clean my depression room,0,0,4,0,0
Depression and anxiety sucks. Last few months I been really struggling.,1,0,0,0,0
i was so close to beating depression and then rod wave dropped another song 😭😭😭😫,1,0,2,0,0
man i fucking hate depression. what do you mean yesterday was four days ago??? bitch i'll kill you !!!!,9,1497,9173,17,0
"@bymindfulsteph narcissistic abuse presents in a certain way. my ex was one to a t, I believe all of his ""depression"" claims were a method of manipulating me further (I even have proof of that)....yet I see so many people all over tumblr claim it time and time again and its like wow",0,0,0,0,0
@KenidraRWoods_ I’m really glad you did what is right for you. As someone who battles depression your honesty about your struggles lights up my darkness sometimes. Keep being you Kendra!,0,0,0,0,1
this one time i was talking to this frat guy at work and i told him that one of our coworkers didn’t believe in depression (🙄) and he said “bro doesn’t he ever just get sad about the state of things...” i think about that a lot. i hope he’s okay.,0,0,10,0,0
Saw a huge dog riding in a motorcycle side car (wearing goggles!!) the other day and it did not cure my depression am I a lost cause,0,0,1,0,0
@Depression_A9 فعلا,0,0,0,0,1
"I know it affects everyone different, but if u get that fatigue, pain, loss of movement, depression, hopelessness, dependency, anger, weariness,,, I feel u.",0,0,0,0,0
Seasonal depression bout to be done.🙌🏻🙌🏻 Now I can just deal with my regular depression 🙌🏻🙌🏻,2,0,9,0,0
@depression_arai お🌼のだ！,1,0,1,0,1
It’s official. The seasonal depression has lifted and we’re back to good ol’ clinical depression now!,0,0,1,0,0
Its somewhat comforting knowing that Haley is not having to struggle with her depression everyday.,0,0,0,0,0
@_MiraAa3_ @adel_Depression ......,0,0,0,0,1
"@itsdiaaana I’m sorry to hear that. But, yeah, it’s very unfortunate that the professors hardly talk about this particular aspect of depression. It just happens to fly under the radar most of the time.",0,0,0,0,1
"@AngelaYHaworth Sadly, Angela, I quite agree with you. The US Stock Market lost $6 TRILLION dollars JUST THIS PAST 6 days! I'm afraid we haven't even seen what ""broken"" is yet! Economists have said for 5 decades that the US and ergo. the world will have a depression that will destroy the world.",0,1,1,0,1
"@AnneMarie Hey @AnneMarie my boyfriend is going through a rough time (depression /anxiety) Your music, and @LewisCapaldi s helping him out. Could you please help me to help him? I'm just asking for some kind words or a message. Sorry if I bother you, I'm truly desperate",0,0,0,0,3
@KekuKahn @oshimenstuff Well sure depression is depression. Society (for some reason) takes care of some people before others and it’s not fair. The genders are so divided culturally that they seem to treat it differently. It shouldn’t be that way,1,0,1,0,1
"@OlanderStrom I see!Well as for me,despite my fucking depression I don't want to die rn,so I'd like to live a bit more with my s.o., get to travel together and all that, but hey if it's my time, so be it, I don't particularly care how I go, as long as it's relatively quick and painless",0,0,0,0,1
we giving depression anxiety,0,1,3,0,0
Hey pals with depression! I just got an instant pot and it saves me so much time cooking. It’s been a lifesaver when I don’t have the motivation to cook a whole meal (which is OFTEN).,0,0,6,0,0
Actuellement en dépression,0,0,0,0,0
@Mrs_ARockstar Can I post a freind of mines art.  She draws pictures of depression and other mental issues.  Her name is Rhaya. https://t.co/RGpvlTYZWn,0,2,6,0,1
"@mikeandersonsr Family Breakdown
Abandonment of Personal Responsibility
Generation of 'Entitlement' &amp; Participation Trophies
Time Distance from 'Great Depression'
I want it NOW generations
Gotta keep up w/the Jones'.
I'll live within my means, even if I have to borrow to do so.

TO LIST A FEW",0,0,1,0,0
trying to figure out if my headache is bc i've been staring at my screen all day or the workout my brain has had with this story or bc i'm feeling the post dw depression hit,1,0,13,0,0
Depression time is over :3,0,0,0,0,0
"Tfw all your job prospects are drying up and you still haven't found anything and it sends you into such a depression spiral that no one wants to be around you an you hate yourself because you're a burden on everyone around you but they're all just too nice to say it.

That's bpd",0,0,0,0,0
"⚜:if yall seen the angsty post lately, you probly notice by now that Darcy suffers a lot from depression.

Hes had it for pretty much his whole life even when he was alive.

When hes left alone for a long time it can cause him to go into a depression from boredom and loneliness.",0,0,1,0,0
Depression is a real thing.,0,0,2,0,0
this depression nap is about to smack,0,0,4,0,0
@M_algnnam Nice night with depression,0,0,0,0,1
Is it me or is everyone looking for a way to cope with depression,0,0,9,0,0
"@mecadguy @NorthmanTrader @DA_Stockman It wont be a recession. It will be a full blown global depression. If the fed wanted to postpone all of this, they would have cut already.",1,0,3,0,2
"@smileysatanist My favorite thing used to be time spent alone, but any time depression would flare up, it got scarier and scarier. I still enjoy it sometimes. Sorry to bbn get heavy on your post.😬",1,0,3,0,0
Dealin W depression wish my nigga maurice was still here,0,0,0,0,0
Just got my eyebrows threaded for the first time and boy lemme tell you I haven’t cried this hard since my depression last year,0,0,16,0,0
"@ElySmain Dépression=maladie
Personnes qui pleurent en écoutant de la musique = déprimés",0,0,0,0,1
❤️ anxiety and depression and not having any motivation,0,0,0,0,0
I tweet way too much depression shit. Yall must think I’m only depressed. Surprise! I have anxiety too 😁,0,0,1,0,0
I'm feeling like I need a drastic shift in my career or life. Is this retrograde or basic depression?,0,0,1,0,0
my depression is the plastic grocery bag filled with 6 months worth of mail that i just can't bring myself to care enough to open.,0,0,2,0,0
@Depression_A9 @vip____74 لا,0,0,0,0,1
gonna deactivate for a bit so i can keep the depression tweets to a minimum lol ✌️,0,0,0,0,0
PMD post ma’rifa depression https://t.co/eZNJaPHrkM,0,4,10,0,0
"@YvonneWinckley @MattHancock If economies collapse, many more could die. Like in the Great Depression.",0,0,0,0,1
"@PizzatheMunt @Lou_Mcgrey @scaredsquee @blackr0se_x @DawsOrion83 Literally the entire recession was prevented from becoming a depression because of the capital injections provided by TARP. Without those injections, every major bank would have failed, effectively stopping large corps (GE, GM, etc) from obtaining short term capital to pay bills",2,0,2,0,4
"When someone asks you what's wrong
And you reply with depression 
And their response is ""oh just mental health crap""
That's bad
You wonder why I'm bad with emotions?
Hmmmm",0,0,0,0,0
I’m not nearly as happy about it as I should be tho. Blame it on depression https://t.co/nQqhB3HFXP,0,0,0,0,0
@GetouSugur Jpleure psq c'est honteux que tu sois venu me dm psq tu pensais que j'étais en dépression wesh jsuis pas émue moi... mdrrrrrrrrr,1,0,0,0,1
Apparently Depression favors Sundays.,0,0,0,0,0
It’s that time again.. Sunday evening depression,1,0,6,0,0
"fuck it

depression",0,0,0,0,0
@Toonforbrains Hazbin literary saved my life. I was going though a tough day of my life with PTSD when I first watched the pilot. Since then I have discovered the Hunicast @Hunicast stream and Helluva boss which are helping me to cope with my depression 😊 I'm so thankful for both shows 😊,0,0,1,0,2
"@Kokomothegreat I'm here, battling depression! I got all y'alls back!!!",0,0,0,0,1
"@RogueRad Private insurance originated from Great Depression wage freezes. Benefits were offered in lieu of ⬆️ wages.

It continues to exist in its current form by limiting who has access to it, and shunting actuarially less wealthy/healthy populations over to MCare &amp; MCaid.",1,2,3,0,1
"since the onset of my depression this year, I fear nothing. except fungus. the... spores and how everything on this earth will be consumed by them....",0,0,0,0,0
Hey depression i guess you miss me bad,0,0,0,0,0
@ZenGrrrl47 It is indeed. My depression is managed but I'm either manic or in a mixed state. Its been a tough winter but I know it'll pass. Stay strong!,1,0,1,0,1
Ugh. I’m just not feeling like myself. Depression sucks,0,0,0,0,0
Any body have any eating/workout tips?? I’m loosing weight from depression and it SUCKS ASS,1,0,0,0,0
@_moodypisces @4BreNetwork @sellyystarkk I have a history of depression and any little hormonal change drives me downhill. I’ve even tried small dosage of the pill. And I’m scared of the copper IUD from stories Ive heard. I have a regular period now and just health reasons why I won’t get on it again,0,0,2,0,1
"@sajano1221 @SJofficial For my Super Junior it is a salvation.  When I suffered from depression, his songs helped me get ahead.  I love seeing them well and smiling because they saved me.  I want to always see them like that, I want to see them always HAPPY !!!!  They are like the air I breathe. LOS AMO",2,1,2,1,2
"under a video about what depression really feels like. Very glad to know im not the only one who feels that way and constantly has to deal with ""you have to know"" https://t.co/FCXYzjwCuA",1,0,6,0,0
LRT that causes depression,0,0,0,0,0
@itspinsmybrain Praying the God will lift depression and comfort her .I know how devastating depression can be been there,0,0,0,0,1
I've been doing depression naps since 11. I've slept like 4 hours and my brain hasn't untfucked itself yet. We're in for a fun work week.,0,0,1,0,0
"@Clumsy_Mummy @3lawan Ouais je suis en dépression @Nadia_Bouchenni viens de me le dire. Je vais pas lire, ça va me déprimer cette bande de mange merde. Qd ils se font tuer par les flics c'est nous on court pr eux... Eux par contre rien pour soutenir leur soeur. Qu'ils crèvent. Fini la diplomatie",0,0,1,0,3
"@kimmaicutler Only 4 Presidents were NOT re-elected. 
Hoover
Ford
Carter,
Bush Sr

Respectively
Depression
recession
recession
recession

Coronavirus raises recession risk, as evidenced by Trump obsession with stock market, lowers re-election chances",0,0,5,0,1
took a depression nap we love that,0,0,1,0,0
depression really helped me achieve a  summer bod w/o doing anything 😌👍🏻 https://t.co/od0j2aGau4,0,0,18,0,0
Y’all ever nut your way out of depression?,1,0,6,0,0
@Log1kz_ Can't have post-con depression if you didn't attend https://t.co/1YMj0MeDKF,1,0,5,0,1
@ny0WqSUCB9vrUwA @adel_Depression سأفعل انا✋☺,0,0,0,0,1
@GoldenHealBear ⚜️ Same. College and depression put together are hell.,1,0,0,0,1
Listening to “remember when” by Tinashe ✈️ depression https://t.co/vX7IxiACpm,0,2,5,0,0
@burningice923 Thanks for proving my point and hurting his narrative that the depression wasn't necessarily due to parental abuse.,1,0,0,0,1
"@thegurlwholifts Awww bruh that's so true, instant depression when you're eating dessert and not enjoying it, calories for what??? 😭😭😭",1,0,1,0,1
@simpforhaechan bruh I almost started crying on the train because I genuinely don’t remember SHIT and it was only 2015 😭😭 depression really stole my memories from my entire teenage years bye,0,0,0,0,1
I’m about ready for seasonal depression to go away. I’ll say that’s what it is lol,1,0,3,0,0
"you are not unworthy of respect, that's probably your depression talking",0,1,3,0,0
sun induced depression swear to god,0,0,3,0,0
"@DisabledDisney @CrissyMusicO @AmandaGeneN @blog_fibro @DISabledYTC That it's not ok to treat people like crap. I have severe life threatening allergy induced asthma, scoliosis, 2 pinched nerves, arthritis in both feet, compounded joint in my back, anxiety, closterphobia, depression, and I died twice. People have always treated me like crap.",1,0,1,0,3
@HNTurtledove Didn’t play sports. Didn’t do mosh pits. Did do some stupid stuff. Busted my head falling off a bicycle bad enough to bleed. Who knows. Life long depression. No known connection.,1,0,3,0,1
So a while ago once I recovered from depression and anxiety I decided I was going to start looking at bad mental health as a cold/flu of the brain and i honestly think If more people were able to think like that it would normalise mental health problems.,0,0,1,0,0
@larryelder I saw where you said that the New Deal caused the Depression. Dude. You embarrass us all.,1,0,1,0,1
